  x              y              exact          interp         lsq            interp_error   lsq_error    
   0.6250000000   0.6495190528   0.0986121811   0.0986121811   0.1018357894   0.0000000000   0.0032236082
   0.3750000000   0.6495190528   0.2500000000   0.2500000000   0.2533067952   0.0000000000   0.0033067952
   0.0000000000   0.4330127019   0.5669872981   0.5669872981   0.5739711765   0.0000000000   0.0069838784
  -0.1250000000   0.2165063509   0.7500000000   0.7500000000   0.7602146956   0.0000000000   0.0102146956
   0.2500000000   0.8660254038   0.0986121811   0.0986121811   0.1020896934   0.0000000000   0.0034775123
   0.1250000000   0.6495190528   0.3385621722   0.3385621722   0.3427465900   0.0000000000   0.0041844178
  -0.1250000000   0.6495190528   0.3385621722   0.3385621722   0.3434347984   0.0000000000   0.0048726262
  -0.2500000000   0.8660254038   0.0986121811   0.0986121811   0.1018357894   0.0000000000   0.0032236082
  -0.3750000000   0.6495190528   0.2500000000   0.2500000000   0.2533067952   0.0000000000   0.0033067952
  -0.3750000000   0.2165063509   0.5669872981   0.5669872981   0.5739711765   0.0000000000   0.0069838784
  -0.2500000000   0.0000000000   0.7500000000   0.7500000000   0.7602146956   0.0000000000   0.0102146956
  -0.6250000000   0.6495190528   0.0986121811   0.0986121811   0.1020896934   0.0000000000   0.0034775123
  -0.5000000000   0.4330127019   0.3385621722   0.3385621722   0.3427465900   0.0000000000   0.0041844178
  -0.6250000000   0.2165063509   0.3385621722   0.3385621722   0.3434347984   0.0000000000   0.0048726262
  -0.8750000000   0.2165063509   0.0986121811   0.0986121811   0.1018357894   0.0000000000   0.0032236082
  -0.7500000000   0.0000000000   0.2500000000   0.2500000000   0.2533067952   0.0000000000   0.0033067952
  -0.3750000000  -0.2165063509   0.5669872981   0.5669872981   0.5739711765   0.0000000000   0.0069838784
  -0.1250000000  -0.2165063509   0.7500000000   0.7500000000   0.7602146956   0.0000000000   0.0102146956
  -0.8750000000  -0.2165063509   0.0986121811   0.0986121811   0.1020896934   0.0000000000   0.0034775123
  -0.6250000000  -0.2165063509   0.3385621722   0.3385621722   0.3427465900   0.0000000000   0.0041844178
  -0.5000000000  -0.4330127019   0.3385621722   0.3385621722   0.3434347984   0.0000000000   0.0048726262
  -0.6250000000  -0.6495190528   0.0986121811   0.0986121811   0.1018357894   0.0000000000   0.0032236082
  -0.3750000000  -0.6495190528   0.2500000000   0.2500000000   0.2533067952   0.0000000000   0.0033067952
